,no2_ref
27,19.6
5444,4.7
3223,1.0
5405,9.4
3931,2.1
950,3.0
1193,5.6
7817,20.4
1515,1.5
6022,2.6
1984,1.5
1035,1.7
2689,4.1
3123,0.9
4055,2.0
3896,1.3
661,4.9
1487,5.6
5984,5.8
4556,1.0
2423,4.1
213,9.8
2834,7.8
6459,3.3
208,5.6
5556,2.3
2938,11.8
3580,11.9
8089,6.5
5037,1.7
3909,1.6
4627,1.8
1650,4.6
1588,3.4
4823,1.1
3180,5.0
7032,7.2
493,4.0
7047,1.4
7745,26.4
6048,4.0
5458,5.1
5953,1.1
4520,1.4
5251,1.5
381,7.5
4769,2.2
3001,1.2
4460,2.8
4910,4.9
6922,2.2
1698,1.5
2412,9.4
3832,2.1
1606,2.0
2854,14.1
5350,2.1
305,2.4
351,2.2
3345,2.9
2068,27.1
7045,1.6
4545,5.9
3660,3.0
1888,1.8
98,4.2
270,10.2
4838,4.8
3094,1.7
139,8.2
543,14.5
3538,3.0
6986,20.8
4983,1.6
7960,13.5
5196,6.3
7431,5.4
2494,2.5
1738,26.9
2879,15.6
4654,2.2
4891,1.4
2344,3.0
8016,17.5
2902,15.1
5387,3.9
2339,2.5
168,3.3
7226,11.7
2924,12.4
2950,2.3
4163,4.5
6095,4.6
6870,11.0
1759,12.1
1401,8.7
5605,2.8
6926,4.4
3641,2.0
3368,5.7
0,4.6
123,9.4
3492,4.6
1267,2.8
4632,2.2
5218,2.9
3627,3.0
5902,1.1
5912,0.6
6006,3.6
4290,4.3
2510,2.0
6127,6.6
2690,2.5
8180,2.8
5692,3.7
3770,4.3
8035,5.8
4152,3.9
4433,2.2
32,19.8
271,4.0
1252,9.0
4327,2.4
2888,1.3
2668,1.6
5352,1.7
2222,8.2
4174,2.8
4350,1.9
2522,1.0
6535,2.3
5301,1.3
1271,3.4
7619,16.8
7777,6.1
4849,1.6
3757,0.8
6798,11.5
16,2.5
5255,2.3
6944,3.1
4641,3.3
5711,1.7
2638,2.6
4926,1.6
6778,4.6
2386,1.8
5360,2.4
221,2.9
4568,5.3
3610,8.9
8076,16.8
